,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,precipipitation,snowfall,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
92,-3.1994715,0.91052866,-1.2007215,74,94,83.625,995.1,1002.6,997.84595,4.2,2.7300002999999995,0.0,2.52,57.96,26.009995999999997,0.79920006,27.855046999999995,12.246411
100,-1.3294713,10.930529,1.2330287,67,92,83.208336,1003.5,1031.7,1023.0625,4.8,3.1499999,427.57642000000004,11.159999000000001,47.88,33.825,7.5066204,29.038821999999996,20.216822
101,-1.1094713,3.5705285000000004,1.1238618999999999,74,92,83.458336,1031.0,1034.2,1032.8583,0.5,0.35,2.150709,31.68,51.48,42.449993,14.249288,27.137518,21.600718
105,-4.9394712,-0.6194713000000001,-2.8382213,47,91,77.625,1022.9,1029.5,1025.1542,0.6,0.42000002,46.59575,3.96,34.56,14.774999,1.3583788,20.78603,9.022101
106,-4.769471599999999,-0.87947136,-2.9007215,53,93,79.125,1024.4,1030.3,1028.2832,0.3,0.21000001,52.340427000000005,5.7599998,43.92,23.1,2.0806506000000002,26.970943,14.515697
107,-3.7594714,0.24052864,-1.7407213,55,94,76.666664,1001.5,1023.9,1016.3915400000001,0.5,0.35000002,140.88547,8.64,82.799995,32.144993,2.9304,45.60422,18.036015
108,-3.5194714,1.6005287,-0.74197143,73,96,84.25,991.8,1001.2,997.3833599999999,5.800000700000001,4.06,0.0,10.799999,82.799995,43.11,6.2419515,45.33655,24.128721
115,-1.8094714,4.540529,1.0601118999999999,93,96,95.25,995.1,1007.1,1000.16656,21.5,13.860001,0.0,5.04,46.44,22.095,2.6237357000000006,26.385706,12.197314
116,-5.549471400000001,-1.7894714,-3.1644714,77,95,90.458336,1007.5,1025.3,1016.62506,4.1,2.87,0.0,16.56,50.399998,33.405,11.191971,28.516,19.76272
124,-3.7794714,3.5005286,-0.1932214,68,97,86.875,1019.7,1024.4,1021.7458,0.1,0.07,81.008514,1.4399998999999999,15.480000500000001,7.904998299999999,0.84243083,9.802651,4.917098999999999
132,1.5005287,5.290529,3.2559452,83,94,91.333336,1017.2,1023.1,1020.5459,1.5,0.42000002,0.0,3.2399998,29.16,9.749999,1.6848617,14.557241000000001,4.7774285999999995
142,-0.76947135,3.0705285,0.84802866,71,96,85.291664,1026.5,1029.4,1027.7001,0.5,0.35000002,12.765956,2.16,41.760002,22.830002,0.0,26.331858,13.948803
177,-0.039471343,6.4105287,3.077612,56,100,81.416664,1024.2,1027.9,1026.0084,1.6000001,0.21000001,0.0,4.68,28.8,12.944999000000001,1.1913770000000001,13.596843,7.811766
290,1.5005287,4.670528400000001,2.5667784,77,91,84.791664,996.3,1012.1,1005.1875,1.0,0.14,69.74006999999999,22.68,74.88,48.074996999999996,8.935328,32.05778,21.827673
291,1.2605287,3.5705285000000004,2.270945,73,90,84.0,1009.6,1019.7,1013.2917,0.3,0.21000001,106.59575,17.28,47.519997,34.83,8.466325,20.58705,15.615738
292,-3.2994714,1.9805287,-0.20863800000000002,70,95,82.083336,1017.9,1024.2,1021.04584,1.5000001,1.0500001,373.24823,5.3999996,35.64,23.999998,3.4632,22.650267000000003,13.308601000000001
293,-1.4994713,4.0305285,1.9167786,72,96,86.708336,1011.9,1022.5,1015.7625,5.8,0.42,0.0,8.64,63.0,35.684994,5.594399500000001,32.794261999999996,18.296566000000002
