,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,precipipitation,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
0,8.100529,17.570529999999998,13.445110999999999,61,96,77.875,1013.1,1018.4,1015.7583,0.2,350.56273999999996,3.2399998,23.4,12.210002000000001,1.7870656000000003,10.403253,6.639939
1,11.110529,18.490528,14.988860999999998,59,94,76.458336,1013.9,1016.6,1014.9917,1.9,287.23404,6.4799995,25.199999,14.880001000000002,4.161301,16.2853,8.616541
2,10.320528999999999,18.170528,14.267612,71,96,83.583336,1015.3,1017.5,1016.38745,0.1,126.26506,3.2399998,24.119999,12.764999000000001,2.028842,11.289829,6.372418
5,17.690529,26.250528000000003,21.623444,57,91,69.5,1012.6,1015.7,1014.5916,1.1,440.9897,1.08,41.760002,13.5,1.7870656000000003,16.802220000000002,6.2179933
6,15.270529000000002,22.65053,19.308447,54,91,72.0,1010.3,1015.8,1013.5957599999999,0.3,666.7021,0.71999997,32.760002,16.935001,0.37674650000000004,12.300642999999999,7.435599000000001
7,14.680529,24.170528,20.22428,62,89,75.083336,1005.6,1010.2,1007.7375,1.4,49.47872,0.35999998,11.159999000000001,5.31,0.0,7.920641000000001,3.9951190000000003
8,15.470529,27.88053,22.057198,49,89,74.291664,1003.2,1006.7,1005.0125,0.3,433.48175,3.2399998,27.72,11.985000999999999,2.3827540000000003,16.021694,7.9386554
11,14.310529,22.04053,18.440529,65,92,76.833336,1010.4,1013.5,1012.00006,2.3,242.56027000000003,3.96,40.68,13.694999,1.6848617,14.321323000000001,5.9480386
12,13.640529,17.730529999999998,16.127195,78,96,86.125,1012.2,1014.7,1013.6333,1.5,0.0,5.7599998,22.319998000000002,11.310002,3.4631998999999998,8.903501,6.3808312
13,14.210529000000001,19.180529,16.796364,69,96,81.25,1011.6,1014.2,1012.91254,0.9,112.76595,0.71999997,14.4,5.625,0.9605189000000001,11.157041,3.4699843
14,11.980528999999999,20.420528,15.939696,75,96,87.916664,1013.1,1015.7,1014.41254,5.9999995,0.0,2.8799999,24.48,13.244998999999998,1.3319999999999999,13.121383999999999,7.356984599999999
15,13.130529000000001,20.30053,16.613863000000002,64,96,81.583336,1009.7,1014.7,1011.9917,3.8,0.0,6.12,40.68,22.049997,3.1968002,20.950966,10.497695
16,13.180529,17.580528,15.043029,78,97,90.708336,1012.2,1013.4,1012.7041,4.9,0.0,4.32,31.68,9.8099985,2.742756,8.855546,5.9394207
17,12.970528999999999,18.72053,15.668029999999998,74,97,84.916664,1011.2,1014.0,1012.4626,15.9,302.217,11.879999,48.6,26.925005,5.327999999999999,15.726628,11.363224
18,10.640528999999999,14.130529000000001,12.53553,69,94,82.375,1007.8,1011.1,1009.0125,1.4000001,164.08334,8.28,28.08,17.115,4.13564,14.346079000000001,9.236237
19,7.040528999999999,14.920529,11.677612,61,95,74.625,1009.6,1014.7,1011.3501,0.1,362.55316,10.799999,33.839996,27.269999,5.956885,20.623213,13.586537
20,8.520529,16.21053,12.739696,64,92,76.75,1015.4,1020.3,1017.64166,0.3,494.36166,8.64,26.64,20.28,4.9121733,17.299599,10.826733
28,19.15053,27.80053,23.674278,46,79,62.625,1017.0,1018.5,1017.9707599999999,0.3,833.1286,1.08,12.599999,6.1949997,0.2664,7.8712067999999995,3.4857937999999993
32,21.760529000000002,30.29053,25.562613,50,90,67.041664,1015.5,1018.4,1016.35004,0.90000004,627.1283599999999,0.71999997,11.879999,5.865,0.0,7.8395867,4.240075599999999
33,19.260529000000002,23.170528,21.730947,75,93,83.916664,1018.6,1021.9,1020.1458,3.8999998999999996,380.7891,0.71999997,14.4,5.31,0.5956885000000001,8.014169,3.024985
41,19.920528,31.90053,25.032196,45,90,70.291664,1010.1,1016.4,1013.5876,0.1,658.6070599999999,1.8,44.639996000000004,10.575,1.3319999999999999,23.61362,7.1116753
42,17.420528,27.30053,22.735947,59,97,78.541664,1009.3,1014.3,1012.49176,0.6,619.96954,2.52,8.64,5.0399995,0.5328,5.956885,3.1817957999999997
46,18.64053,24.690529,21.30428,59,79,67.416664,1015.7,1022.6,1019.37915,0.2,202.91135,3.6,29.16,15.629998,1.3319999999999999,17.975586,8.582757
50,18.830528,29.88053,24.734276,46,86,63.33333199999999,1008.2,1010.2,1009.28754,0.3,804.6607700000001,0.35999998,8.64,4.815,0.84243083,6.2419515,3.3530777
51,16.260529000000002,24.79053,21.10386,67,94,81.625,1010.3,1017.1,1013.1834,3.0,159.1833,0.35999998,28.08,11.099999,0.5328,14.999053,6.5986970000000005
52,14.180529,17.46053,16.096365,80,96,88.25,1016.9,1021.5,1018.3958,13.0,0.0,6.12,46.8,21.299997,3.118132,19.853504,9.511658
53,13.030529,20.570529999999998,16.423029999999997,54,91,74.291664,1018.8,1022.1,1020.99585,0.6,451.27655,11.159999000000001,31.319998,21.9,5.7384315,17.151278,10.547086
55,13.990529,18.730529999999998,16.414279999999998,69,95,81.333336,1012.8,1016.0,1014.7043,5.1,148.08511000000001,2.52,31.319998,11.91,0.84243083,11.651765,5.850199
56,13.570529,22.000528,17.708862,52,94,73.083336,1013.8,1019.6,1017.5916,6.3999996,691.61237,5.3999996,36.36,14.355000500000001,1.3583788,14.241816,6.8542175
57,14.730529,21.490528,17.955946,64,88,76.083336,1015.9,1020.2,1017.9458599999999,3.9000003,198.84042,2.16,33.48,15.569999,1.0656,14.159351999999998,6.9806576
58,13.800529500000001,18.63053,16.285946,71,98,82.541664,1011.7,1015.9,1013.4248699999999,3.7999997000000003,194.68086,3.2399998,32.760002,19.095,2.6772869,17.848799,9.881739999999999
59,12.710529,20.30053,16.467195999999998,55,91,74.291664,1014.6,1017.1,1015.85425,0.5,665.3535,1.8,20.519999,8.7,1.3319999999999999,7.36826,4.138066
61,16.40053,28.480529999999998,21.774279,47,85,63.66666800000001,1013.5,1017.0,1015.55005,1.0,641.8124,2.52,28.44,10.935,0.37674650000000004,12.326578,6.3483005
62,17.31053,20.190529,18.547197,83,96,90.25,1015.2,1016.6,1016.0251,13.800001000000002,0.0,1.4399998999999999,32.760002,8.654999,1.0983953000000002,11.188799000000001,4.1883206
63,13.130529000000001,19.90053,17.415113,64,91,77.583336,1015.4,1016.6,1016.0874,0.4,463.60067999999995,4.68,32.399998,17.009995999999997,2.4560864,12.225408999999999,8.0802965
64,13.650529,22.96053,18.180529,51,82,68.833336,1009.1,1016.4,1012.5083,0.2,370.4064,1.08,21.599998,10.56,1.5533656,12.798296,5.6841807
65,14.900529,17.170528,16.202614,67,95,81.958336,1006.9,1014.5,1009.89166,12.5,14.042551999999999,9.0,37.44,24.284998,5.327999999999999,16.512503,10.618826
68,16.770529,21.590528,18.997612,65,89,73.625,1016.9,1019.0,1017.6958,0.5,521.4858,1.8,27.0,10.799999,0.37674650000000004,14.420093,6.3792443
72,16.020529,20.330528,18.279695999999998,70,96,83.25,1013.3,1016.6,1014.6541,17.400002,133.29433,3.96,25.919998,13.32,2.0806506000000002,10.444103,5.884414
