,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
3,10.450529,24.980529999999998,17.309278,54,92,77.625,1015.9,1018.7,1017.2625,881.2471,2.16,20.16,9.48,0.79920006,11.483046,4.6907377
4,12.350529,25.610529,19.88178,47,88,66.583336,1015.7,1020.7,1018.18353,951.56665,0.71999997,15.84,5.5650005,0.37674650000000004,6.443357,3.3112752
9,16.920528,30.72053,22.644693,39,97,73.458336,1001.4,1005.7,1003.80835,531.9373,1.4399998999999999,24.119999,12.209999,1.8648,15.137991,6.780077499999999
10,16.45053,24.38053,20.846363,61,97,76.208336,1006.2,1010.7,1009.32916,597.0400400000001,1.08,41.039997,9.48,0.5328,20.540459,4.708371
21,8.010529,18.590528,13.726363000000001,55,93,74.875,1020.6,1022.3,1021.4041,597.08014,1.08,15.480000500000001,8.445,0.84243083,9.549613,5.480354
22,9.670529,22.62053,16.558027,45,94,67.5,1018.2,1022.3,1020.3125,668.74963,1.4399998999999999,19.44,8.22,0.5956885000000001,10.494943,5.1587762999999995
23,10.330528999999999,23.180529,17.993029999999997,56,94,69.541664,1015.2,1020.2,1018.1416,917.5523699999999,1.4399998999999999,7.559999499999999,5.3549995,0.5328,4.912173,3.1325924
24,14.760529,25.340528,20.558447,48,80,63.79166800000001,1013.6,1016.7,1015.4375,790.4699,2.8799999,10.799999,6.2549996,1.3583788,6.179101999999999,3.8685942000000004
25,14.540529000000001,25.600529,21.050945000000002,54,94,71.0,1012.9,1015.3,1014.196,879.3553,0.71999997,10.440000999999999,5.82,0.5328,7.3150935,3.2451
26,15.240529,26.70053,21.367608999999998,57,98,74.333336,1014.7,1017.6,1016.35834,822.4981700000001,0.71999997,8.64,4.1849995,0.2664,6.681277799999999,2.6905077
27,18.000528,27.480529999999998,23.190947,52,81,67.375,1016.8,1018.9,1017.6958599999999,908.00134,1.08,8.64,5.25,0.2664,5.750785400000001,2.9842975
29,18.070529999999998,27.06053,23.014696,52,90,67.416664,1017.2,1020.2,1018.55,884.78345,3.96,14.759998999999999,8.924998,2.3827540000000003,10.420294,5.574549
30,17.270529,28.12053,23.459276000000003,50,91,68.916664,1013.7,1018.4,1016.0835,884.7075,0.71999997,6.4799995,3.21,0.79920006,3.4632,1.7341785
31,19.29053,29.570529999999998,25.107615,50,83,63.16666800000001,1014.3,1015.8,1014.99585,870.4694,0.35999998,6.4799995,4.0499997,0.2664,4.897704,2.9124644
34,17.89053,26.20053,21.990112,47,94,69.25,1018.0,1020.7,1019.4207,896.8815,5.04,34.2,12.240001,2.6772869,13.977751000000001,6.611496400000001
35,16.22053,22.40053,19.359282,54,93,73.291664,1020.7,1022.8,1021.6416,561.16974,4.32,16.919998,11.97,2.4123544999999997,11.402417999999999,7.563149
